CPU Usage: 32.9%
Temperature: 50.5°C
Memory Usage: 9.9%

Task Manager:
   PID Name                        CPU%   MEM%
================================================
   845 Xorg                        15.5    2.0
   863 wireplumber                 15.5    1.0
   593 dbus-daemon                  7.7    0.1
   714 NetworkManager               5.8    0.4
   591 bluetoothd                   3.9    0.1
   767 python3                      3.9    0.5
   309 systemd-journald             1.9    0.4
   562 kworker/u21:2-hci0           1.9    0.0
   603 polkitd                      1.9    0.2
   722 wpa_supplicant               1.9    0.2
   761 nm-online                    1.9    0.2
   782 lightdm                      1.9    0.2
     1 systemd                      0.0    0.3
     2 kthreadd                     0.0    0.0
     3 pool_workqueue_release       0.0    0.0
     4 kworker/R-kvfree_rcu_rec     0.0    0.0
     5 kworker/R-rcu_gp             0.0    0.0
     6 kworker/R-sync_wq            0.0    0.0
     7 kworker/R-slub_flushwq       0.0    0.0
     8 kworker/R-netns              0.0    0.0
     9 kworker/0:0-events           0.0    0.0
    10 kworker/0:1-device_link_     0.0    0.0
    11 kworker/0:0H-mmc_complet     0.0    0.0
    12 kworker/u16:0-v3d_render     0.0    0.0
    13 kworker/R-mm_percpu_wq       0.0    0.0
    14 rcu_tasks_kthread            0.0    0.0
    15 rcu_tasks_rude_kthread       0.0    0.0
    16 rcu_tasks_trace_kthread      0.0    0.0
    17 ksoftirqd/0                  0.0    0.0
    18 rcu_preempt                  0.0    0.0
    19 rcu_exp_par_gp_kthread_w     0.0    0.0
    20 rcu_exp_gp_kthread_worke     0.0    0.0
    21 migration/0                  0.0    0.0
    22 cpuhp/0                      0.0    0.0
    23 cpuhp/1                      0.0    0.0
    24 migration/1                  0.0    0.0
    25 ksoftirqd/1                  0.0    0.0
    26 kworker/1:0-rcu_gp           0.0    0.0
    27 kworker/1:0H-events_high     0.0    0.0
    28 cpuhp/2                      0.0    0.0
    29 migration/2                  0.0    0.0
    30 ksoftirqd/2                  0.0    0.0
    31 kworker/2:0-events           0.0    0.0
    32 kworker/2:0H-events_high     0.0    0.0
    33 cpuhp/3                      0.0    0.0
    34 migration/3                  0.0    0.0
    35 ksoftirqd/3                  0.0    0.0
    36 kworker/3:0-events           0.0    0.0
    37 kworker/3:0H-events_high     0.0    0.0
    38 kworker/u17:0-events_unb     0.0    0.0
    39 kworker/u18:0-events_unb     0.0    0.0
    40 kworker/u19:0-events_unb     0.0    0.0
    41 kworker/u20:0-events_unb     0.0    0.0
    42 kdevtmpfs                    0.0    0.0
    43 kworker/R-inet_frag_wq       0.0    0.0
    44 kworker/u17:1-async          0.0    0.0
    45 kauditd                      0.0    0.0
    46 khungtaskd                   0.0    0.0
    47 oom_reaper                   0.0    0.0
    48 kworker/R-writeback          0.0    0.0
    49 kcompactd0                   0.0    0.0
    50 kworker/R-kintegrityd        0.0    0.0
    51 kworker/R-kblockd            0.0    0.0
    52 kworker/R-blkcg_punt_bio     0.0    0.0
    53 kworker/u17:2                0.0    0.0
    54 watchdogd                    0.0    0.0
    55 kworker/u19:1-events_unb     0.0    0.0
    56 kworker/u17:3-events_unb     0.0    0.0
    57 kworker/2:1H-kblockd         0.0    0.0
    58 kworker/2:1-events           0.0    0.0
    59 kworker/R-rpciod             0.0    0.0
    60 kworker/R-xprtiod            0.0    0.0
    61 kworker/u19:2                0.0    0.0
    62 kswapd0                      0.0    0.0
    63 kworker/R-nfsiod             0.0    0.0
    64 kworker/R-kthrotld           0.0    0.0
    65 kworker/3:1-pm               0.0    0.0
    66 kworker/3:2-cgroup_destr     0.0    0.0
    67 kworker/3:3-rcu_gp           0.0    0.0
    68 kworker/3:4-rcu_gp           0.0    0.0
    69 kworker/3:5-pm               0.0    0.0
    70 kworker/u20:1-ext4-rsv-c     0.0    0.0
    72 hwrng                        0.0    0.0
    73 kworker/R-iscsi_conn_cle     0.0    0.0
    74 kworker/R-nvme-wq            0.0    0.0
    75 kworker/R-nvme-reset-wq      0.0    0.0
    76 kworker/R-nvme-delete-wq     0.0    0.0
    77 kworker/R-DWC Notificati     0.0    0.0
    78 kworker/R-uas                0.0    0.0
    79 kworker/3:1H-kblockd         0.0    0.0
    80 kworker/u21:0-hci0           0.0    0.0
    81 kworker/u22:0                0.0    0.0
    82 kworker/u23:0                0.0    0.0
    83 kworker/u24:0                0.0    0.0
    84 kworker/u25:0                0.0    0.0
    85 kworker/u20:2-events_unb     0.0    0.0
    86 kworker/u20:3-events_unb     0.0    0.0
    87 irq/38-aerdrv                0.0    0.0
    89 kworker/R-sdhci              0.0    0.0
    90 kworker/u20:4-events_unb     0.0    0.0
    92 kworker/u20:5-events_unb     0.0    0.0
    93 irq/161-mmc0                 0.0    0.0
    94 kworker/R-sdhci              0.0    0.0
    95 irq/162-mmc1                 0.0    0.0
    99 kworker/0:2-events           0.0    0.0
   100 kworker/0:3-events           0.0    0.0
   101 kworker/R-mmc_complete       0.0    0.0
   102 kworker/0:1H-mmc_complet     0.0    0.0
   125 kworker/1:1H-kblockd         0.0    0.0
   129 kworker/1:1-events           0.0    0.0
   214 kworker/R-v3d_bin            0.0    0.0
   215 kworker/R-v3d_render         0.0    0.0
   216 kworker/R-v3d_tfu            0.0    0.0
   217 kworker/R-v3d_csd            0.0    0.0
   218 kworker/R-v3d_cache_clea     0.0    0.0
   219 kworker/R-v3d_cpu            0.0    0.0
   220 kworker/2:2H                 0.0    0.0
   221 kworker/u18:1-events_unb     0.0    0.0
   248 kworker/3:2H-kblockd         0.0    0.0
   250 jbd2/mmcblk0p2-8             0.0    0.0
   251 kworker/R-ext4-rsv-conve     0.0    0.0
   269 kworker/R-mld                0.0    0.0
   270 kworker/R-ipv6_addrconf      0.0    0.0
   271 kworker/u16:1-v3d_bin        0.0    0.0
   272 kworker/2:2-cgroup_destr     0.0    0.0
   289 kworker/1:2H                 0.0    0.0
   291 kworker/0:2H                 0.0    0.0
   313 kworker/1:2-events_freez     0.0    0.0
   330 kworker/1:3-cgroup_destr     0.0    0.0
   331 kworker/1:4-cgroup_destr     0.0    0.0
   332 kworker/2:3-rcu_gp           0.0    0.0
   341 systemd-udevd                0.0    0.2
   342 (udev-worker)                0.0    0.1
   343 (udev-worker)                0.0    0.1
   344 (udev-worker)                0.0    0.1
   345 (udev-worker)                0.0    0.1
   347 (udev-worker)                0.0    0.1
   348 (udev-worker)                0.0    0.1
   349 (udev-worker)                0.0    0.1
   350 (udev-worker)                0.0    0.1
   351 (udev-worker)                0.0    0.1
   352 (udev-worker)                0.0    0.1
   353 (udev-worker)                0.0    0.1
   354 (udev-worker)                0.0    0.1
   355 (udev-worker)                0.0    0.1
   356 (udev-worker)                0.0    0.1
   357 (udev-worker)                0.0    0.1
   358 (udev-worker)                0.0    0.1
   359 (udev-worker)                0.0    0.2
   360 (udev-worker)                0.0    0.1
   361 (udev-worker)                0.0    0.1
   362 (udev-worker)                0.0    0.1
   363 (udev-worker)                0.0    0.1
   364 (udev-worker)                0.0    0.1
   365 (udev-worker)                0.0    0.1
   366 (udev-worker)                0.0    0.2
   415 spi10                        0.0    0.0
   438 irq/171-vc4 hdmi hpd con     0.0    0.0
   439 irq/172-vc4 hdmi hpd dis     0.0    0.0
   440 cec-vc4-hdmi-0               0.0    0.0
   446 irq/174-vc4 hdmi cec rx      0.0    0.0
   447 irq/175-vc4 hdmi cec tx      0.0    0.0
   461 irq/176-vc4 hdmi hpd con     0.0    0.0
   462 irq/177-vc4 hdmi hpd dis     0.0    0.0
   463 cec-vc4-hdmi-1               0.0    0.0
   464 irq/178-vc4 hdmi cec rx      0.0    0.0
   465 irq/179-vc4 hdmi cec tx      0.0    0.0
   470 card1-crtc0                  0.0    0.0
   472 card1-crtc1                  0.0    0.0
   473 card1-crtc2                  0.0    0.0
   474 card1-crtc3                  0.0    0.0
   479 systemd-fsckd                0.0    0.2
   482 kworker/R-cfg80211           0.0    0.0
   502 irq/185-1000800000.codec     0.0    0.0
   503 kworker/R-brcmf_wq/mmc1:     0.0    0.0
   504 brcmf_wdog/mmc1:0001:1       0.0    0.0
   553 kworker/u21:1-hci0           0.0    0.0
   565 kworker/u21:3                0.0    0.0
   576 kworker/u18:2-events_unb     0.0    0.0
   584 systemd-timesyncd            0.0    0.2
   588 accounts-daemon              0.0    0.2
   590 avahi-daemon                 0.0    0.1
   592 cron                         0.0    0.1
   609 systemd-logind               0.0    0.2
   610 thd                          0.0    0.1
   611 udisksd                      0.0    0.3
   615 avahi-daemon                 0.0    0.0
   732 systemd-hostnamed            0.0    0.2
   743 ModemManager                 0.0    0.3
   765 cupsd                        0.0    0.2
   766 vncserver                    0.0    0.7
   775 vncserver                    0.0    0.7
   781 containerd                   0.0    1.0
   784 systemd                      0.0    0.2
   797 xrdp-sesman                  0.0    0.0
   812 nm-dispatcher                0.0    0.2
   814 sshd                         0.0    0.2
   815 (sd-pam)                     0.0    0.1
   820 kworker/2:4-cgroup_destr     0.0    0.0
   828 xrdp                         0.0    0.0
   838 dbus                         0.0    0.2
   844 (agetty)                     0.0    0.1
   846 (agetty)                     0.0    0.1
   859 apache2                      0.0    0.5
   861 pipewire                     0.0    0.3
   862 pipewire                     0.0    0.1
   864 pipewire-pulse               0.0    0.2
   866 dbus-daemon                  0.0    0.1
   873 rtkit-daemon                 0.0    0.1
   882 apache2                      0.0    0.2
   883 apache2                      0.0    0.2
   884 apache2                      0.0    0.2
   885 apache2                      0.0    0.2
   886 apache2                      0.0    0.2
   919 krfcommd                     0.0    0.0
   948 xauth                        0.0    0.0
