   PID Name                        CPU%  Memory%
--------------------------------------------------
     1 systemd                      0.0      0.3
     2 kthreadd                     0.0      0.0
     3 pool_workqueue_release       0.0      0.0
     4 kworker/R-kvfree_rcu_recl    0.0      0.0
     5 kworker/R-rcu_gp             0.0      0.0
     6 kworker/R-sync_wq            0.0      0.0
     7 kworker/R-slub_flushwq       0.0      0.0
     8 kworker/R-netns              0.0      0.0
     9 kworker/0:0-events           0.0      0.0
    13 kworker/R-mm_percpu_wq       0.0      0.0
    14 rcu_tasks_kthread            0.0      0.0
    15 rcu_tasks_rude_kthread       0.0      0.0
    16 rcu_tasks_trace_kthread      0.0      0.0
    17 ksoftirqd/0                  0.0      0.0
    18 rcu_preempt                  0.0      0.0
    19 rcu_exp_par_gp_kthread_wo    0.0      0.0
    20 rcu_exp_gp_kthread_worker    0.0      0.0
    21 migration/0                  0.0      0.0
    22 cpuhp/0                      0.0      0.0
    23 cpuhp/1                      0.0      0.0
    24 migration/1                  0.0      0.0
    25 ksoftirqd/1                  0.0      0.0
    28 cpuhp/2                      0.0      0.0
    29 migration/2                  0.0      0.0
    30 ksoftirqd/2                  0.0      0.0
    31 kworker/2:0-events_power_    0.0      0.0
    33 cpuhp/3                      0.0      0.0
    34 migration/3                  0.0      0.0
    35 ksoftirqd/3                  0.0      0.0
    38 kworker/u17:0-events_unbo    0.0      0.0
    39 kworker/u18:0-events_unbo    0.0      0.0
    41 kworker/u20:0-events_unbo    0.0      0.0
    42 kdevtmpfs                    0.0      0.0
    43 kworker/R-inet_frag_wq       0.0      0.0
    44 kworker/u17:1-events_unbo    0.0      0.0
    45 kauditd                      0.0      0.0
    46 khungtaskd                   0.0      0.0
    47 oom_reaper                   0.0      0.0
    48 kworker/R-writeback          0.0      0.0
    49 kcompactd0                   0.0      0.0
    50 kworker/R-kintegrityd        0.0      0.0
    51 kworker/R-kblockd            0.0      0.0
    52 kworker/R-blkcg_punt_bio     0.0      0.0
    53 kworker/u19:1-kvfree_rcu_    0.0      0.0
    54 watchdogd                    0.0      0.0
    55 kworker/2:1H-kblockd         0.0      0.0
    56 kworker/2:1-rcu_gp           0.0      0.0
    57 kworker/R-rpciod             0.0      0.0
    58 kworker/R-xprtiod            0.0      0.0
    60 kswapd0                      0.0      0.0
    61 kworker/R-nfsiod             0.0      0.0
    62 kworker/R-kthrotld           0.0      0.0
    63 kworker/1:1-events           0.0      0.0
    65 kworker/3:1-events           0.0      0.0
    66 kworker/3:2-events           0.0      0.0
